Year,Player_ID,Name,Season_Type,Games Played,Minutes,Field Goals Attempted,3 Point Field Goals Attempted,Free Throws Attempted,Rebounds,Assists,Turnovers,Steals,Blocks,Personal Fouls
2003,2544,LeBron James,Preseason,2,57,19,1,0,6,10,6,3,2,5
2003,2544,LeBron James,Regular,79,3127,1492,217,460,432,465,273,130,58,149
2004,2544,LeBron James,Preseason,2,44,20,0,12,3,7,2,2,0,2
2004,2544,LeBron James,Regular,80,3384,1684,308,636,588,577,262,177,52,146
2005,2544,LeBron James,Preseason,3,85,39,8,25,6,6,13,9,2,7
2005,2544,LeBron James,Regular,79,3361,1823,379,814,556,521,260,123,66,181
2005,2544,LeBron James,Playoffs,13,604,307,63,118,105,76,65,18,9,44
2006,2544,LeBron James,Preseason,5,139,62,10,21,23,25,15,6,1,6
2006,2544,LeBron James,Regular,78,3190,1621,310,701,526,470,250,125,55,171
2006,2544,LeBron James,Playoffs,20,893,399,75,196,161,159,66,34,10,40
2007,2544,LeBron James,Preseason,6,154,59,6,36,19,27,12,8,3,8
2007,2544,LeBron James,Regular,75,3027,1642,359,771,592,539,255,138,81,165
2007,2544,LeBron James,Playoffs,13,552,275,70,167,102,99,54,23,17,33
2008,2544,LeBron James,Preseason,7,137,65,11,32,34,24,14,8,6,5
2008,2544,LeBron James,Regular,81,3054,1613,384,762,613,587,241,137,93,139
2008,2544,LeBron James,Playoffs,14,580,312,81,199,128,102,38,23,12,30
2009,2544,LeBron James,Preseason,6,130,64,8,40,19,25,9,7,5,3
2009,2544,LeBron James,Regular,76,2966,1528,387,773,554,651,261,125,77,119
2009,2544,LeBron James,Playoffs,11,460,211,50,120,102,84,42,19,20,23
2010,2544,LeBron James,Preseason,6,162,93,12,60,32,29,12,7,5,6
2010,2544,LeBron James,Regular,79,3063,1485,279,663,590,554,284,124,50,163
2010,2544,LeBron James,Playoffs,21,922,373,85,156,176,123,66,35,25,56
2011,2544,LeBron James,Preseason,2,56,30,1,14,8,2,3,1,2,2
2011,202693,Markieff Morris,Preseason,2,45,16,6,5,15,1,2,3,4,12
2011,2544,LeBron James,Regular,62,2326,1169,149,502,492,387,213,115,50,96
2011,202693,Markieff Morris,Regular,63,1227,436,124,106,279,65,70,41,42,179
2011,2544,LeBron James,Playoffs,23,983,502,85,234,224,129,81,43,16,47
2012,2544,LeBron James,Preseason,7,183,78,9,29,35,41,16,14,1,7
2012,202693,Markieff Morris,Preseason,7,155,77,11,22,42,12,11,7,4,24
2012,2544,LeBron James,Regular,76,2877,1354,254,535,610,551,226,129,67,110
2012,202693,Markieff Morris,Regular,82,1837,653,134,127,396,108,104,77,54,209
2012,2544,LeBron James,Playoffs,23,960,432,96,175,193,152,70,41,18,43
2013,2544,LeBron James,Preseason,6,150,70,13,24,24,23,9,7,2,10
2013,202693,Markieff Morris,Preseason,7,145,57,3,7,36,4,12,4,2,17
2013,203458,Alex Len,Preseason,5,77,16,0,4,23,3,4,0,3,18
2013,2544,LeBron James,Regular,77,2902,1353,306,585,533,488,270,121,26,126
2013,202693,Markieff Morris,Regular,81,2153,845,108,327,485,144,147,68,51,232
2013,203458,Alex Len,Regular,42,362,78,0,31,99,4,26,4,18,68
2013,2544,LeBron James,Playoffs,20,763,340,86,160,141,95,61,36,11,46
2014,2544,LeBron James,Preseason,5,122,48,16,26,20,25,15,3,2,5
2014,202693,Markieff Morris,Preseason,7,163,56,14,33,35,12,20,8,3,22
2014,203458,Alex Len,Preseason,2,36,2,0,2,9,0,1,0,2,7
2014,2544,LeBron James,Regular,69,2493,1279,339,528,416,511,272,109,49,135
2014,202693,Markieff Morris,Regular,82,2581,1100,179,232,506,192,170,101,39,245
2014,203458,Alex Len,Regular,69,1518,353,3,104,454,32,74,34,105,213
2014,2544,LeBron James,Playoffs,20,844,544,110,167,226,169,82,33,21,58
2015,2544,LeBron James,Preseason,2,48,28,8,2,7,8,6,6,0,5
2015,202693,Markieff Morris,Preseason,6,138,64,17,20,24,14,13,1,6,18
2015,203458,Alex Len,Preseason,5,99,39,0,12,30,4,8,2,8,13
2015,2544,LeBron James,Regular,76,2709,1416,282,491,565,514,249,104,49,143
2015,202693,Markieff Morris,Regular,64,1629,718,155,147,352,124,135,58,34,184
2015,203458,Alex Len,Regular,78,1821,624,7,239,594,97,145,38,62,230
2015,2544,LeBron James,Playoffs,21,822,417,94,124,200,160,75,49,27,54
2016,2544,LeBron James,Preseason,3,56,25,2,9,10,10,4,6,1,2
2016,202693,Markieff Morris,Preseason,5,117,51,12,5,21,12,8,4,3,15
2016,203458,Alex Len,Preseason,5,108,42,0,30,32,4,9,3,6,21
2016,1627827,Dorian Finney-Smith,Preseason,7,105,26,15,8,21,5,2,2,4,7
2016,2544,LeBron James,Regular,74,2795,1344,342,531,639,646,303,92,44,134
2016,202693,Markieff Morris,Regular,76,2374,889,196,215,493,126,129,82,42,254
2016,203458,Alex Len,Regular,77,1560,463,12,208,510,44,102,38,98,242
2016,1627827,Dorian Finney-Smith,Regular,81,1642,333,191,61,222,67,45,52,25,125
2016,2544,LeBron James,Playoffs,18,744,384,107,162,164,141,72,35,23,43
2016,202693,Markieff Morris,Playoffs,13,373,145,38,31,83,22,21,12,17,46
2017,2544,LeBron James,Preseason,1,30,13,3,1,5,3,8,1,1,4
2017,203458,Alex Len,Preseason,5,126,38,0,33,38,2,7,6,14,14
2017,1627827,Dorian Finney-Smith,Preseason,3,51,8,6,2,9,4,3,1,0,1
2017,1628467,Maxi Kleber,Preseason,5,66,24,16,0,13,3,6,2,0,5
2017,2544,LeBron James,Regular,82,3026,1580,406,531,709,747,347,116,71,136
2017,202693,Markieff Morris,Regular,73,1968,687,207,128,409,142,127,56,38,216
2017,203458,Alex Len,Regular,69,1395,378,3,231,518,82,78,27,61,158
2017,1627827,Dorian Finney-Smith,Regular,21,448,121,67,15,75,26,21,10,4,43
2017,1628467,Maxi Kleber,Regular,72,1206,309,128,59,234,51,30,26,47,114
2017,2544,LeBron James,Playoffs,22,922,510,114,213,200,198,94,30,23,52
2017,202693,Markieff Morris,Playoffs,6,181,49,12,10,45,10,6,4,5,22
2018,2544,LeBron James,Preseason,4,63,30,6,18,19,15,9,3,1,4
2018,202693,Markieff Morris,Preseason,4,74,31,16,4,21,5,6,1,4,11
2018,203458,Alex Len,Preseason,5,96,33,11,24,26,8,9,0,5,15
2018,1627827,Dorian Finney-Smith,Preseason,4,97,21,12,6,18,6,7,4,3,11
2018,1628467,Maxi Kleber,Preseason,4,72,23,14,12,24,4,3,2,6,7
2018,2544,LeBron James,Regular,55,1937,1095,327,418,465,454,197,72,33,94
2018,202693,Markieff Morris,Regular,58,1271,484,203,92,265,79,54,36,22,175
2018,203458,Alex Len,Regular,77,1544,648,204,216,424,86,97,27,69,200
2018,1627827,Dorian Finney-Smith,Regular,81,1985,528,254,103,389,95,74,69,36,186
2018,1628467,Maxi Kleber,Regular,71,1502,386,218,74,329,70,54,36,78,143
2018,202693,Markieff Morris,Playoffs,5,59,16,7,9,13,5,2,1,3,9
2019,2544,LeBron James,Preseason,6,120,62,12,34,21,37,13,4,0,5
2019,202693,Markieff Morris,Preseason,5,79,36,13,5,15,3,6,1,2,10
2019,203458,Alex Len,Preseason,5,91,29,15,7,27,11,7,2,3,9
2019,1627827,Dorian Finney-Smith,Preseason,6,126,27,13,7,25,9,6,5,0,14
2019,1628467,Maxi Kleber,Preseason,8,158,52,32,6,25,4,4,3,8,16
